"Entry ID","Collection Temperature","Experimental Method","Matthews Coefficient","Percent Solvent Content","Crystallization Method","pH","Crystal Growth Procedure","Temp (K)","Deposition Date","PDB ID","Resolution (Å)","Average B Factor","R Free","R Work","R All","R Observed","High Resolution Limit","Reflections For Refinement","Structure Determination Method",
"4W53",100,"X-RAY DIFFRACTION",2.59,52.47,"VAPOR DIFFUSION, HANGING DROP",7.5,"20% (w/v) PEGF-4000, 10% 2-propanol, 0.1 M HEPES, 50 mM 2-mercaptoethanol, 50 mM 2-hydroxyethyl disulfide",277,"2014-08-16","4W53","1.56",17.1525,0.2049,0.1736,,0.1748,1.56,29630,"MOLECULAR REPLACEMENT",
"4W4S",100,"X-RAY DIFFRACTION",2.2,43.99,"VAPOR DIFFUSION, SITTING DROP",7,"0.7M AMMONIUM TARTRATE DIBASIC PH 7.0, 2-4% W/V PEG 4000, VAPOR DIFFUSION, SITTING DROP, TEMPERATURE 295K",295,"2014-08-15","4W4S","2",,0.235,0.197,,0.197,2,38697,"MIR",
"4W54",100,"X-RAY DIFFRACTION",2.58,52.38,"VAPOR DIFFUSION, HANGING DROP",7.5,"20% (w/v) PEGF-4000, 10% 2-propanol, 0.1 M HEPES, 50 mM 2-mercaptoethanol, 50 mM 2-hydroxyethyl disulfide",277,"2014-08-16","4W54","1.7901",18.3427,0.1979,0.1653,,0.1673,1.7901,19790,"MOLECULAR REPLACEMENT",
"4W4T",100,"X-RAY DIFFRACTION",2.26,45.54,"VAPOR DIFFUSION, HANGING DROP",7.7,"0.22M Ammonium Acetate, 28% PEG 3350, 0.1M Hepes pH 7.7",300,"2014-08-15","4W4T","1.845",,0.2117,0.1747,,0.1758,1.845,69221,"MOLECULAR REPLACEMENT",
"4W55",100,"X-RAY DIFFRACTION",2.57,52.2,"VAPOR DIFFUSION, HANGING DROP",7.5,"20% (w/v) PEGF-4000, 10% 2-propanol, 0.1 M HEPES, 50 mM 2-mercaptoethanol, 50 mM 2-hydroxyethyl disulfide",277,"2014-08-16","4W55","1.6401",17.5808,0.1874,0.1664,,0.1674,1.6401,25515,"MOLECULAR REPLACEMENT",
"4W4U",100,"X-RAY DIFFRACTION",2.04,39.79,"VAPOR DIFFUSION, HANGING DROP",5.5,"100mM Bis Tris,18% PEG3350, 100mM Ammonium Sulfate",293,"2014-08-15","4W4U","2.8",51.258,0.24067,0.182,,0.18496,2.8,33234,"MOLECULAR REPLACEMENT",
"4W56",100,"X-RAY DIFFRACTION",2.59,52.43,"VAPOR DIFFUSION, HANGING DROP",7.5,"20% (w/v) PEGF-4000, 10% 2-propanol, 0.1 M HEPES, 50 mM 2-mercaptoethanol, 50 mM 2-hydroxyethyl disulfide",277,"2014-08-16","4W56","1.63",17.3165,0.1877,0.1709,,0.1716,1.63,26049,"MOLECULAR REPLACEMENT",
"4W4V",100,"X-RAY DIFFRACTION",2.37,48.07,"VAPOR DIFFUSION, HANGING DROP",,"EG 3350, ammonium tartrate",277,"2014-08-15","4W4V","2.01",42.69,0.2341,0.194,,0.196,2.01,23665,
"4W57",100,"X-RAY DIFFRACTION",2.58,52.27,"VAPOR DIFFUSION, HANGING DROP",7.5,"20% (w/v) PEGF-4000, 10% 2-propanol, 0.1 M HEPES, 50 mM 2-mercaptoethanol, 50 mM 2-hydroxyethyl disulfide",277,"2014-08-16","4W57","1.6801",15.4268,0.1848,0.17,,0.1708,1.6801,23783,"MOLECULAR REPLACEMENT",
"4W4W",100,"X-RAY DIFFRACTION",2.37,48.14,"VAPOR DIFFUSION, HANGING DROP",,"PEG 3350, ammonium tartrate",277,"2014-08-15","4W4W","1.9",43.62,0.219,0.1917,,0.1931,1.9,32304,
